doctype,item_name,valuation_rate,image,item_group,item_code,stock_uom,standard_rate,opening_stock,warehouse
Item,"Disinfectant Toilet Cleaner Liquid, Original",390,https://www.bigbasket.com/media/uploads/p/l/40202555_2-harpic-power-plus-disinfectant-toilet-cleaner.jpg,Cleaning & Household,ITEM023,kg,390,882,Stores-WH
Item,Tomato - Hybrid (Loose),26.9,https://www.bigbasket.com/media/uploads/p/l/10000200_17-fresho-tomato-hybrid.jpg,Fruits & Vegetables,ITEM024,kg,27,161,Stores-WH
Item,Tomato - Hybrid (Loose),13.45,https://www.bigbasket.com/media/uploads/p/l/10000201_15-fresho-tomato-hybrid.jpg,Fruits & Vegetables,ITEM025,kg,13,273,Stores-WH
Item,Tea,40,https://www.bigbasket.com/media/uploads/p/l/266616_16-red-label-tea.jpg,Beverages,ITEM026,kg,40,434,Stores-WH
Item,Tea,285,https://www.bigbasket.com/media/uploads/p/l/266569_16-red-label-tea.jpg,Beverages,ITEM027,kg,285,960,Stores-WH
Item,Tea,145,https://www.bigbasket.com/media/uploads/p/l/266575_18-red-label-tea.jpg,Beverages,ITEM028,kg,145,889,Stores-WH
Item,Tea,570,https://www.bigbasket.com/media/uploads/p/l/102871_11-red-label-tea.jpg,Beverages,ITEM029,kg,570,591,Stores-WH
Item,Paneer - Premium Fresh,470,https://www.bigbasket.com/media/uploads/p/l/137575_4-milky-mist-paneer-premium-fresh.jpg,"Bakery, Cakes & Dairy",ITEM030,kg,470,153,Stores-WH
Item,Paneer - Premium Fresh,224,https://www.bigbasket.com/media/uploads/p/l/1200164_3-milky-mist-paneer-premium-fresh.jpg,"Bakery, Cakes & Dairy",ITEM031,kg,224,843,Stores-WH
Item,Paneer - Premium Fresh,275,https://www.bigbasket.com/media/uploads/p/l/40003150_3-milky-mist-paneer-premium-fresh.jpg,"Bakery, Cakes & Dairy",ITEM032,kg,275,478,Stores-WH
Item,Paneer - Premium Fresh,112,https://www.bigbasket.com/media/uploads/p/l/264679_3-milky-mist-paneer-premium-fresh.jpg,"Bakery, Cakes & Dairy",ITEM033,kg,112,513,Stores-WH
Item,Tomato - Local (Loose),25.97,https://www.bigbasket.com/media/uploads/p/l/10000203_16-fresho-tomato-local.jpg,Fruits & Vegetables,ITEM034,kg,26,491,Stores-WH
Item,Tomato - Local (Loose),12.99,https://www.bigbasket.com/media/uploads/p/l/10000204_16-fresho-tomato-local.jpg,Fruits & Vegetables,ITEM035,kg,13,113,Stores-WH
Item,Carrot - Orange (Loose),50.65,https://www.bigbasket.com/media/uploads/p/l/10000072_16-fresho-carrot-orange.jpg,Fruits & Vegetables,ITEM036,kg,51,694,Stores-WH
Item,Carrot - Orange (Loose),101.3,https://www.bigbasket.com/media/uploads/p/l/10000070_15-fresho-carrot-orange.jpg,Fruits & Vegetables,ITEM037,kg,101,899,Stores-WH
Item,Carrot - Orange (Loose),25.32,https://www.bigbasket.com/media/uploads/p/l/10000071_14-fresho-carrot-orange.jpg,Fruits & Vegetables,ITEM038,kg,25,779,Stores-WH
Item,2-Minute Instant Noodles - Masala,82,https://www.bigbasket.com/media/uploads/p/l/266112_17-maggi-2-minute-instant-noodles-masala.jpg,Snacks & Branded Foods,ITEM039,kg,82,340,Stores-WH
Item,Masala Instant Noodles Vegetarian,14,https://www.bigbasket.com/media/uploads/p/l/266160_19-maggi-masala-instant-noodles-vegetarian.jpg,Snacks & Branded Foods,ITEM040,kg,14,896,Stores-WH
Item,"2-Minute Noodles Masala - Made With Quality Spices, Rich In Fibre",168,https://www.bigbasket.com/media/uploads/p/l/40125873_4-maggi-2-minute-noodles-masala.jpg,Snacks & Branded Foods,ITEM041,kg,168,146,Stores-WH
Item,"2-Minute Instant Masala Noodles - Made With Quality Spices, Source Of Iron",55,https://www.bigbasket.com/media/uploads/p/l/266162_17-maggi-2-minute-instant-noodles-masala.jpg,Snacks & Branded Foods,ITEM042,kg,55,807,Stores-WH
Item,Masala 2 Minute Instant Noodles,28,https://www.bigbasket.com/media/uploads/p/l/266165_14-maggi-masala-2-minute-instant-noodles.jpg,Snacks & Branded Foods,ITEM043,kg,28,474,Stores-WH
Item,"2-Minute Instant Masala Noodles - Made With Quality Spices, Goodness Of Iron",109,https://www.bigbasket.com/media/uploads/p/l/266109_19-maggi-2-minute-instant-noodles-masala.jpg,Snacks & Branded Foods,ITEM044,kg,109,107,Stores-WH
Item,Idly Dosa Batter,158,https://www.bigbasket.com/media/uploads/p/l/1208825_3-id-fresho-idly-dosa-batter.jpg,Snacks & Branded Foods,ITEM045,kg,158,289,Stores-WH
Item,Idly & Dosa Batter,79,https://www.bigbasket.com/media/uploads/p/l/271205_14-id-fresho-idly-dosa-batter.jpg,Snacks & Branded Foods,ITEM046,kg,79,599,Stores-WH
Item,"Bathing Bar Soap - Germ Protection, Original",600,https://www.bigbasket.com/media/uploads/p/l/1206304_6-dettol-bathing-bar-soap-germ-protection-original.jpg,Beauty & Hygiene,ITEM047,kg,600,458,Stores-WH
Item,Bathing Bar Soap - Original,240,https://www.bigbasket.com/media/uploads/p/l/1208387_5-dettol-bathing-bar-soap-original.jpg,Beauty & Hygiene,ITEM048,kg,240,166,Stores-WH
Item,"Original Bathing Bar Soap, Daily Protection from Germs",75,https://www.bigbasket.com/media/uploads/p/l/100008548_25-dettol-original-bathing-soap-bar-with-76-tfm-protects-from-germs.jpg,Beauty & Hygiene,ITEM049,kg,75,932,Stores-WH
Item,Bathing Soap - Original,300,https://www.bigbasket.com/media/uploads/p/l/1200377_8-dettol-bathing-soap-original.jpg,Beauty & Hygiene,ITEM050,kg,300,316,Stores-WH
Item,Bathing Soap - Original,150,https://www.bigbasket.com/media/uploads/p/l/1203036_6-dettol-bathing-soap-original.jpg,Beauty & Hygiene,ITEM051,kg,150,857,Stores-WH
Item,"Bathing Bar Soap - Germ Protection, Original",450,https://www.bigbasket.com/media/uploads/p/l/1206303_6-dettol-bathing-bar-soap-germ-protection-original.jpg,Beauty & Hygiene,ITEM052,kg,450,826,Stores-WH
Item,"Colgate Strong Teeth, 150 gm, India’s No: 1 Toothpaste Brand",85,https://www.bigbasket.com/media/uploads/p/l/20005547_11-colgate-strong-teeth-anticavity-toothpaste-with-amino-shakti-formula-provides-fresher-breath.jpg,Beauty & Hygiene,ITEM053,kg,85,978,Stores-WH
Item,"Colgate Strong Teeth, 500 gm, India’s No: 1 Toothpaste Brand",244,https://www.bigbasket.com/media/uploads/p/l/40186855_5-colgate-strong-teeth-anticavity-toothpaste-with-amino-shakti-formula-provides-fresher-breath.jpg,Beauty & Hygiene,ITEM054,kg,244,692,Stores-WH
Item,"Toothpaste - Strong Teeth, Dental Cream, Anti Cavity",346,https://www.bigbasket.com/media/uploads/p/l/1205003_5-colgate-toothpaste-strong-teeth-dental-cream-anti-cavity.jpg,Beauty & Hygiene,ITEM055,kg,346,277,Stores-WH
Item,"Colgate Strong Teeth, 100 gm, India’s No: 1 Toothpaste Brand",63,https://www.bigbasket.com/media/uploads/p/l/100006161_16-colgate-strong-teeth-anticavity-toothpaste-with-amino-shakti-formula-provides-fresher-breath.jpg,Beauty & Hygiene,ITEM056,kg,63,310,Stores-WH
Item,"Colgate Strong Teeth, 300 gm, India’s No: 1 Toothpaste Brand",173,https://www.bigbasket.com/media/uploads/p/l/263925_17-colgate-strong-teeth-anticavity-toothpaste-with-amino-shakti-formula-provides-fresher-breath.jpg,Beauty & Hygiene,ITEM057,kg,173,498,Stores-WH
Item,Strong Teeth Anticavity Toothpaste With Amino Shakti - Saver Pack,488,https://www.bigbasket.com/media/uploads/p/l/1212657_3-colgate-strong-teeth-anticavity-toothpaste-with-amino-shakti-saver-pack.jpg,Beauty & Hygiene,ITEM058,kg,488,802,Stores-WH
Item,"Rice/Akki - Raw, Sona Masoori",70,https://www.bigbasket.com/media/uploads/p/l/10000457_13-bb-royal-rice-raw-sona-masoori.jpg,"Foodgrains, Oil & Masala",ITEM059,kg,70,864,Stores-WH
Item,"Rice/Akki - Raw, Sona Masoori, 12-17 Months Old",700,https://www.bigbasket.com/media/uploads/p/l/10000404_18-bb-royal-rice-raw-sona-masoori-12-17-months-old.jpg,"Foodgrains, Oil & Masala",ITEM060,kg,700,534,Stores-WH
Item,Sona Masoori Raw Rice/Akki,1750,https://www.bigbasket.com/media/uploads/p/l/20001214_15-bb-royal-sona-masoori-raw-rice.jpg,"Foodgrains, Oil & Masala",ITEM061,kg,1750,207,Stores-WH
Item,"Rice/Akki - Raw, Sona Masoori",350,https://www.bigbasket.com/media/uploads/p/l/10000415_14-bb-royal-rice-raw-sona-masoori.jpg,"Foodgrains, Oil & Masala",ITEM062,kg,350,491,Stores-WH
Item,"Tender Coconut Water - No Added Sugar, Flavours",50,https://www.bigbasket.com/media/uploads/p/l/40216129_10-fresho-tender-coconut-water-no-added-sugar-flavours.jpg,Beverages,ITEM063,kg,50,741,Stores-WH
Item,"Tender Coconut Water - No Added Sugar, Flavours",200,https://www.bigbasket.com/media/uploads/p/l/1214882_8-fresho-tender-coconut-water-no-added-sugar-flavours.jpg,Beverages,ITEM064,kg,200,640,Stores-WH
Item,"Tender Coconut Water - No Added Sugar, Flavours",300,https://www.bigbasket.com/media/uploads/p/l/1214883_8-fresho-tender-coconut-water-no-added-sugar-flavours.jpg,Beverages,ITEM065,kg,300,503,Stores-WH
Item,"Tender Coconut Water - No Added Sugar, Flavours",400,https://www.bigbasket.com/media/uploads/p/l/1214884_9-fresho-tender-coconut-water-no-added-sugar-flavours.jpg,Beverages,ITEM066,kg,400,903,Stores-WH
Item,"Tender Coconut Water - No Added Sugar, Flavours",600,https://www.bigbasket.com/media/uploads/p/l/1214885_4-fresho-tender-coconut-water-no-added-sugar-flavours.jpg,Beverages,ITEM067,kg,600,94,Stores-WH
Item,"Tender Coconut Water - No Added Sugar, Flavours",1200,https://www.bigbasket.com/media/uploads/p/l/1214886_8-fresho-tender-coconut-water-no-added-sugar-flavours.jpg,Beverages,ITEM068,kg,1200,178,Stores-WH
Item,Original Extra Virgin Olive Oil,1400,https://www.bigbasket.com/media/uploads/p/l/40006250_7-borges-extra-virgin-olive-oil.jpg,Gourmet & World Food,ITEM069,kg,1400,521,Stores-WH
Item,Extra Virgin Olive Oil,6000,https://www.bigbasket.com/media/uploads/p/l/40208261_1-borges-extra-virgin-olive-oil.jpg,Gourmet & World Food,ITEM070,kg,6000,503,Stores-WH
Item,Original Extra Virgin Olive Oil,2700,https://www.bigbasket.com/media/uploads/p/l/40191534_1-borges-extra-virgin-olive-oil.jpg,Gourmet & World Food,ITEM071,kg,2700,944,Stores-WH
Item,Frozen Green Peas,135,https://www.bigbasket.com/media/uploads/p/l/40192104_9-fresho-frozen-green-peas.jpg,Snacks & Branded Foods,ITEM072,kg,135,299,Stores-WH
Item,Frozen Green Peas,480,https://www.bigbasket.com/media/uploads/p/l/1214513_9-fresho-frozen-green-peas.jpg,Snacks & Branded Foods,ITEM073,kg,480,879,Stores-WH
Item,Frozen Green Peas,240,https://www.bigbasket.com/media/uploads/p/l/40163718_11-fresho-frozen-green-peas.jpg,Snacks & Branded Foods,ITEM074,kg,240,199,Stores-WH
Item,Frozen Green Peas,270,https://www.bigbasket.com/media/uploads/p/l/1210065_9-fresho-frozen-green-peas.jpg,Snacks & Branded Foods,ITEM075,kg,270,446,Stores-WH
Item,Tea - Natural Care,650,https://www.bigbasket.com/media/uploads/p/l/226491_10-red-label-tea-natural-care.jpg,Beverages,ITEM076,kg,650,139,Stores-WH
Item,Tea - Natural Care,170,https://www.bigbasket.com/media/uploads/p/l/266615_12-red-label-tea-natural-care.jpg,Beverages,ITEM077,kg,170,980,Stores-WH
Item,Tea - Natural Care,330,https://www.bigbasket.com/media/uploads/p/l/274791_12-red-label-tea-natural-care.jpg,Beverages,ITEM078,kg,330,967,Stores-WH
Item,Tea - Natural Care,65,https://www.bigbasket.com/media/uploads/p/l/266583_10-red-label-tea-natural-care.jpg,Beverages,ITEM079,kg,65,722,Stores-WH
Item,Carbon Zinc Battery Red HD AA 1015,360,https://www.bigbasket.com/media/uploads/p/l/1214632_2-eveready-carbon-zinc-battery-red-hd-aa-1015.jpg,"Kitchen, Garden & Pets",ITEM080,kg,360,941,Stores-WH
Item,Carbon Zinc Battery Red HD AA 1015,180,https://www.bigbasket.com/media/uploads/p/l/106417_2-eveready-carbon-zinc-battery-red-hd-aa-1015.jpg,"Kitchen, Garden & Pets",ITEM081,kg,180,731,Stores-WH
Item,Tea,800,https://www.bigbasket.com/media/uploads/p/l/137936_11-taj-mahal-tea.jpg,Beverages,ITEM082,kg,800,624,Stores-WH
Item,Tea,410,https://www.bigbasket.com/media/uploads/p/l/266564_11-taj-mahal-tea.jpg,Beverages,ITEM083,kg,410,244,Stores-WH
Item,Rich & Flavourful Tea,90,https://www.bigbasket.com/media/uploads/p/l/266597_12-taj-mahal-rich-flavourful-tea.jpg,Beverages,ITEM084,kg,90,310,Stores-WH
Item,Tea,220,https://www.bigbasket.com/media/uploads/p/l/266551_8-taj-mahal-tea.jpg,Beverages,ITEM085,kg,220,703,Stores-WH
Item,Ladies Finger (Loose),31.82,https://www.bigbasket.com/media/uploads/p/l/10000144_13-fresho-ladies-finger.jpg,Fruits & Vegetables,ITEM086,kg,32,926,Stores-WH
Item,Ladies Finger (Loose),63.64,https://www.bigbasket.com/media/uploads/p/l/10000142_16-fresho-ladies-finger.jpg,Fruits & Vegetables,ITEM087,kg,64,821,Stores-WH
Item,Ladies Finger (Loose),15.91,https://www.bigbasket.com/media/uploads/p/l/10000143_14-fresho-ladies-finger.jpg,Fruits & Vegetables,ITEM088,kg,16,426,Stores-WH
Item,"Dry Pet Food - For Adult Dogs, Chicken & Vegetables",105,https://www.bigbasket.com/media/uploads/p/l/265378_14-pedigree-dry-dog-food-chicken-vegetables-for-adult-dogs.jpg,"Kitchen, Garden & Pets",ITEM089,kg,105,270,Stores-WH
Item,"Dry Dog Food - Chicken & Vegetables, For Adult Dogs",285,https://www.bigbasket.com/media/uploads/p/l/256652_14-pedigree-dry-dog-food-chicken-vegetables-for-adult-dogs.jpg,"Kitchen, Garden & Pets",ITEM090,kg,285,240,Stores-WH
Item,"Dry Pet Food - For Adult Dogs, Chicken & Vegetables",1390,https://www.bigbasket.com/media/uploads/p/l/40021902_16-pedigree-dry-dog-food-chicken-vegetables-for-adult-dogs.jpg,"Kitchen, Garden & Pets",ITEM091,kg,1390,532,Stores-WH
Item,"Dry Pet Food - For Adult Dogs, Chicken & Vegetables",725,https://www.bigbasket.com/media/uploads/p/l/30005107_17-pedigree-dry-dog-food-chicken-vegetables-for-adult-dogs.jpg,"Kitchen, Garden & Pets",ITEM092,kg,725,157,Stores-WH
Item,"Dry Pet Food - For Adult Dogs, Chicken & Vegetables",3160,https://www.bigbasket.com/media/uploads/p/l/30005108_18-pedigree-dry-dog-food-chicken-vegetables-for-adult-dogs.jpg,"Kitchen, Garden & Pets",ITEM093,kg,3160,138,Stores-WH
Item,"Dry Pet Food - For Adult Dogs, Chicken & Vegetables",2220,https://www.bigbasket.com/media/uploads/p/l/130331_16-pedigree-dry-dog-food-chicken-vegetables-for-adult-dogs.jpg,"Kitchen, Garden & Pets",ITEM094,kg,2220,552,Stores-WH
Item,Antiseptic Disinfectant Liquid,66.55,https://www.bigbasket.com/media/uploads/p/l/253537_9-dettol-antiseptic-disinfectant-liquid.jpg,Beauty & Hygiene,ITEM095,kg,67,422,Stores-WH
Item,Antiseptic Disinfectant Liquid,127.77,https://www.bigbasket.com/media/uploads/p/l/253539_10-dettol-antiseptic-disinfectant-liquid.jpg,Beauty & Hygiene,ITEM096,kg,128,746,Stores-WH
Item,Antiseptic Disinfectant Liquid,214.06,https://www.bigbasket.com/media/uploads/p/l/208003_11-dettol-antiseptic-disinfectant-liquid.jpg,Beauty & Hygiene,ITEM097,kg,214,874,Stores-WH
Item,Antiseptic Disinfectant Liquid,1641.59,https://www.bigbasket.com/media/uploads/p/l/40005079_6-dettol-antiseptic-disinfectant-liquid.jpg,Beauty & Hygiene,ITEM098,kg,1642,745,Stores-WH
Item,Antiseptic Disinfectant Liquid,331.41,https://www.bigbasket.com/media/uploads/p/l/40124254_9-dettol-antiseptic-disinfectant-liquid.jpg,Beauty & Hygiene,ITEM099,kg,331,687,Stores-WH
Item,Antiseptic Disinfectant Liquid,33.27,https://www.bigbasket.com/media/uploads/p/l/253535_7-dettol-antiseptic-disinfectant-liquid.jpg,Beauty & Hygiene,ITEM100,kg,33,266,Stores-WH
Item,Cumin/Jeera/Jeerige - Whole,600,https://www.bigbasket.com/media/uploads/p/l/40030808_10-bb-royal-cuminjeera-whole.jpg,"Foodgrains, Oil & Masala",ITEM101,kg,600,65,Stores-WH
Item,Cumin/Jeera/Jeerige - Whole,300,https://www.bigbasket.com/media/uploads/p/l/40026603_9-bb-royal-cuminjeera-whole.jpg,"Foodgrains, Oil & Masala",ITEM102,kg,300,424,Stores-WH
Item,Cumin/Jeera/Jeerige - Whole,30,https://www.bigbasket.com/media/uploads/p/l/30000308_10-bb-royal-cuminjeera-whole.jpg,"Foodgrains, Oil & Masala",ITEM103,kg,30,85,Stores-WH
Item,Cumin/Jeera/Jeerige - Whole,120,https://www.bigbasket.com/media/uploads/p/l/10000486_14-bb-royal-cuminjeera-whole.jpg,"Foodgrains, Oil & Masala",ITEM104,kg,120,625,Stores-WH
Item,Cumin/Jeera/Jeerige - Whole,60,https://www.bigbasket.com/media/uploads/p/l/10000479_13-bb-royal-cuminjeera-whole.jpg,"Foodgrains, Oil & Masala",ITEM105,kg,60,270,Stores-WH
Item,GoodLife UHT Treated Toned Milk,28,https://www.bigbasket.com/media/uploads/p/l/242671_1-nandini-goodlife-toned-milk.jpg,"Bakery, Cakes & Dairy",ITEM106,kg,28,494,Stores-WH
Item,"Adult Gravy DogÂ Food - Chicken & Liver Chunks In Gravy, 25 RsÂ Off Value Pack",600,https://www.bigbasket.com/media/uploads/p/l/70001924_13-pedigree-adult-gravy-doga-food-chicken-liver-chunks-in-gravy-25-rsa-off-value-pack.jpg,"Kitchen, Garden & Pets",ITEM107,kg,600,169,Stores-WH
Item,GoodLife UHT Treated Toned Milk,60,https://www.bigbasket.com/media/uploads/p/l/100285703_15-nandini-goodlife-toned-milk.jpg,"Bakery, Cakes & Dairy",ITEM108,kg,60,201,Stores-WH
Item,"Assam Teas With Gently Rolled Aromatic Long Leaves, Rich & Aromatic Chai, Black Tea",620,https://www.bigbasket.com/media/uploads/p/l/240065_14-tata-tea-gold-tea.jpg,Beverages,ITEM109,kg,620,59,Stores-WH
Item,Tea,145,https://www.bigbasket.com/media/uploads/p/l/263642_19-tata-tea-gold-tea.jpg,Beverages,ITEM110,kg,145,605,Stores-WH
Item,"Assam Teas With Gently Rolled Aromatic Long Leaves, Rich & Aromatic Chai, Black Tea",285,https://www.bigbasket.com/media/uploads/p/l/240067_19-tata-tea-gold-tea.jpg,Beverages,ITEM111,kg,285,441,Stores-WH
Item,Tea,40,https://www.bigbasket.com/media/uploads/p/l/264565_4-tata-tea-gold-tea.jpg,Beverages,ITEM112,kg,40,158,Stores-WH
Item,Tea,885,https://www.bigbasket.com/media/uploads/p/l/40200082_3-tata-tea-gold-tea.jpg,Beverages,ITEM113,kg,885,827,Stores-WH
Item,Sun Lite - Sunflower Refined Oil,189,https://www.bigbasket.com/media/uploads/p/l/274145_14-fortune-sun-lite-sunflower-refined-oil.jpg,"Foodgrains, Oil & Masala",ITEM114,kg,189,176,Stores-WH
Item,Sunflower Refined Oil - Sun Lite,567,https://www.bigbasket.com/media/uploads/p/l/1204455_2-fortune-sunflower-refined-oil-sun-lite.jpg,"Foodgrains, Oil & Masala",ITEM115,kg,567,187,Stores-WH
Item,Cream Beauty Bathing Bar,128,https://www.bigbasket.com/media/uploads/p/l/1203041_2-dove-cream-beauty-bathing-bar.jpg,Beauty & Hygiene,ITEM116,kg,128,383,Stores-WH
Item,Cream Beauty Bathing Bar,840,https://www.bigbasket.com/media/uploads/p/l/1209799_4-dove-cream-beauty-bathing-bar.jpg,Beauty & Hygiene,ITEM117,kg,840,314,Stores-WH
Item,"Cream Beauty Bathing Bar, Has 1/4th Moisturizing Cream",64,https://www.bigbasket.com/media/uploads/p/l/306161_10-dove-cream-beauty-bathing-bar.jpg,Beauty & Hygiene,ITEM118,kg,64,833,Stores-WH
Item,Cream Beauty Bathing Bar,944,https://www.bigbasket.com/media/uploads/p/l/1209800_3-dove-cream-beauty-bathing-bar.jpg,Beauty & Hygiene,ITEM119,kg,944,166,Stores-WH
Item,"Cream Beauty Bathing Bar - For Soft, Smooth Skin",870,https://www.bigbasket.com/media/uploads/p/l/40158282_10-dove-cream-beauty-bathing-bar.jpg,Beauty & Hygiene,ITEM120,kg,870,502,Stores-WH
Item,"Cream Beauty Bathing Bar, Has 1/4th Moisturizing Cream",472,https://www.bigbasket.com/media/uploads/p/l/40016743_10-dove-cream-beauty-bathing-bar.jpg,Beauty & Hygiene,ITEM121,kg,472,672,Stores-WH
Item,Cream Beauty Bathing Bar,384,https://www.bigbasket.com/media/uploads/p/l/1209809_3-dove-cream-beauty-bathing-bar.jpg,Beauty & Hygiene,ITEM122,kg,384,677,Stores-WH
Item,"Cream Beauty Bathing Bar, Has 1/4th Moisturizing Cream",280,https://www.bigbasket.com/media/uploads/p/l/266706_15-dove-cream-beauty-bathing-bar.jpg,Beauty & Hygiene,ITEM123,kg,280,184,Stores-WH
Item,Cream Beauty Bathing Bar Soap,512,https://www.bigbasket.com/media/uploads/p/l/1206004_1-dove-cream-beauty-bathing-bar-soap.jpg,Beauty & Hygiene,ITEM124,kg,512,984,Stores-WH
Item,Sunrise Instant Coffee - Chicory Mixture,95,https://www.bigbasket.com/media/uploads/p/l/20005895_6-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,Beverages,ITEM125,kg,95,515,Stores-WH
Item,Sunrise Rich Aroma,795,https://www.bigbasket.com/media/uploads/p/l/40111434_10-nescafe-sunrise-rich-aroma.jpg,Beverages,ITEM126,kg,795,66,Stores-WH
Item,"Sunrise Instant Coffee Powder - Chicory Mix, Extra Strong",785,https://www.bigbasket.com/media/uploads/p/l/118572_3-nescafe-sunrise-extra-sachet.jpg,Beverages,ITEM127,kg,785,143,Stores-WH
Item,"Sunrise Instant Coffee - Chicory Mix, Rich In Aroma & Flavour",190,https://www.bigbasket.com/media/uploads/p/l/292149_7-nescafe-sunrise-instant-coffee-chicory-mix.jpg,Beverages,ITEM128,kg,190,508,Stores-WH
Item,"Sunrise Instant Coffee-Chicory Mix, Rich In Aroma & Flavour,",10,https://www.bigbasket.com/media/uploads/p/l/40020215_6-nescafe-sunrise-coffee.jpg,Beverages,ITEM129,kg,10,849,Stores-WH
Item,Sunrise Instant Coffee,5,https://www.bigbasket.com/media/uploads/p/l/40020218_3-nescafe-sunrise-instant-coffee.jpg,Beverages,ITEM130,kg,5,702,Stores-WH
Item,"Sunrise Instant Coffee - Chicory Mix, Rich In Aroma & Flavour",380,https://www.bigbasket.com/media/uploads/p/l/241695_13-nescafe-sunrise-rich-aroma-instant-coffee-chicory-mix.jpg,Beverages,ITEM131,kg,380,475,Stores-WH
